"9","jerusalem","#0","/net/gsb/pmb/out/p40/d0757"
"11","(","#10","/net/gsb/pmb/out/p40/d0757"
"13","ap","#11","/net/gsb/pmb/out/p40/d0757"
"14",")","#13","/net/gsb/pmb/out/p40/d0757"
"17","--","#15","/net/gsb/pmb/out/p40/d0757"
"20","in","#18","/net/gsb/pmb/out/p40/d0757"
"22","a","#21","/net/gsb/pmb/out/p40/d0757"
"32","spiritual","#23","/net/gsb/pmb/out/p40/d0757"
"39","climax","#33","/net/gsb/pmb/out/p40/d0757"
"42","to","#40","/net/gsb/pmb/out/p40/d0757"
"46","his","#43","/net/gsb/pmb/out/p40/d0757"
"54","22-year","#47","/net/gsb/pmb/out/p40/d0757"
"61","papacy","#55","/net/gsb/pmb/out/p40/d0757"
"62",",","#61","/net/gsb/pmb/out/p40/d0757"
"67","pope","#63","/net/gsb/pmb/out/p40/d0757"
"72","john","#68","/net/gsb/pmb/out/p40/d0757"
"77","paul","#73","/net/gsb/pmb/out/p40/d0757"
"80","ii","#78","/net/gsb/pmb/out/p40/d0757"
"83","on","#81","/net/gsb/pmb/out/p40/d0757"
"91","tuesday","#84","/net/gsb/pmb/out/p40/d0757"
"97","began","#92","/net/gsb/pmb/out/p40/d0757"
"101","the","#98","/net/gsb/pmb/out/p40/d0757"
"107","first","#102","/net/gsb/pmb/out/p40/d0757"
"116","official","#108","/net/gsb/pmb/out/p40/d0757"
"122","visit","#117","/net/gsb/pmb/out/p40/d0757"
"125","by","#123","/net/gsb/pmb/out/p40/d0757"
"127","a","#126","/net/gsb/pmb/out/p40/d0757"
"133","roman","#128","/net/gsb/pmb/out/p40/d0757"
"142","catholic","#134","/net/gsb/pmb/out/p40/d0757"
"150","pontiff","#143","/net/gsb/pmb/out/p40/d0757"
"153","to","#151","/net/gsb/pmb/out/p40/d0757"
"160","israel","#154","/net/gsb/pmb/out/p40/d0757"
"161",",","#160","/net/gsb/pmb/out/p40/d0757"
"172","fulfilling","#162","/net/gsb/pmb/out/p40/d0757"
"176","his","#173","/net/gsb/pmb/out/p40/d0757"
"182","dream","#177","/net/gsb/pmb/out/p40/d0757"
"185","of","#183","/net/gsb/pmb/out/p40/d0757"
"194","visiting","#186","/net/gsb/pmb/out/p40/d0757"
"198","the","#195","/net/gsb/pmb/out/p40/d0757"
"203","land","#199","/net/gsb/pmb/out/p40/d0757"
"209","where","#204","/net/gsb/pmb/out/p40/d0757"
"216","christ","#210","/net/gsb/pmb/out/p40/d0757"
"220","was","#217","/net/gsb/pmb/out/p40/d0757"
"225","born","#221","/net/gsb/pmb/out/p40/d0757"
"229","and","#226","/net/gsb/pmb/out/p40/d0757"
"234","died","#230","/net/gsb/pmb/out/p40/d0757"
"235",".","#234","/net/gsb/pmb/out/p40/d0757"
"the","the","#DEF","/net/gsb/pmb/out/p40/d0826"
"little","little","#IST","/net/gsb/pmb/out/p40/d0826"
"boy","boy","#CON","/net/gsb/pmb/out/p40/d0826"
"[Agent]","said","#NIL","/net/gsb/pmb/out/p40/d0826"
"hello","hello","#UNK","/net/gsb/pmb/out/p40/d0826"
"to","to","#AND","/net/gsb/pmb/out/p40/d0826"
"person","me","#PRO","/net/gsb/pmb/out/p40/d0826"
".",".","#NIL","/net/gsb/pmb/out/p40/d0826"
"it","it","#PRO","/net/gsb/pmb/out/p40/d0853"
"will","'ll","#FUT","/net/gsb/pmb/out/p40/d0853"
"snow","snow","#REL","/net/gsb/pmb/out/p40/d0853"
"tomorrow","tomorrow","#CON","/net/gsb/pmb/out/p40/d0853"
".",".","#NIL","/net/gsb/pmb/out/p40/d0853"
"they","they","#PRO","/net/gsb/pmb/out/p40/d0860"
