"17:30","half~past~five","#CLO","/net/gsb/pmb/out/p80/d1465"
"11:00","eleven~a.m.","#CLO","/net/gsb/pmb/out/p80/d1489"
"08:00","8:00~a.m.","#CLO","/net/gsb/pmb/out/p80/d1591"
"degree~fahrenheit","degrees~Fahrenheit","#UOM","/net/gsb/pmb/out/p80/d2963"
"will","'ll","#FUT","/net/gsb/pmb/out/p81/d0788"
"will","'ll","#FUT","/net/gsb/pmb/out/p81/d0826"
"bright","brightly","#IST","/net/gsb/pmb/out/p81/d2077"
"02:30","2:30","#CLO","/net/gsb/pmb/out/p81/d2890"
"21:00","9:00~p.m.","#CLO","/net/gsb/pmb/out/p81/d3430"
"will","’ll","#NOW","/net/gsb/pmb/out/p82/d0925"
"will","'ll","#FUT","/net/gsb/pmb/out/p82/d0942"
"will","'ll","#FUT","/net/gsb/pmb/out/p82/d0947"
"14:30","2:30","#CLO","/net/gsb/pmb/out/p82/d2360"
"thing","'T","#PRO","/net/gsb/pmb/out/p82/d2624"
"madam","ma'am","#EPS","/net/gsb/pmb/out/p83/d0777"
"08:30","half~past~eight","#CLO","/net/gsb/pmb/out/p83/d0825"
"will","'ll","#FUT","/net/gsb/pmb/out/p83/d0863"
"will","'ll","#FUT","/net/gsb/pmb/out/p83/d0942"
"21:00","9~p.m.","#CLO","/net/gsb/pmb/out/p83/d1250"
"will","'ll","#FUT","/net/gsb/pmb/out/p84/d0779"
"will","'ll","#FUT","/net/gsb/pmb/out/p84/d0794"
"will","'ll","#FUT","/net/gsb/pmb/out/p84/d0859"
"will","'ll","#FUT","/net/gsb/pmb/out/p84/d0864"
"will","'ll","#FUT","/net/gsb/pmb/out/p84/d0878"
"will","'ll","#FUT","/net/gsb/pmb/out/p84/d0910"
"20:00","8:00~p.m.","#CLO","/net/gsb/pmb/out/p84/d2316"
"11:30","eleven~thirty","#CLO","/net/gsb/pmb/out/p84/d2502"
"07:30","half~past~seven","#CLO","/net/gsb/pmb/out/p84/d3514"
"will","'ll","#FUT","/net/gsb/pmb/out/p85/d0781"
"america","Americans","#GPE","/net/gsb/pmb/out/p85/d0803"
"08:30","8:30~a.m.","#CLO","/net/gsb/pmb/out/p85/d0825"
"will","'ll","#FUT","/net/gsb/pmb/out/p85/d0927"
"08:40","8:40","#CLO","/net/gsb/pmb/out/p85/d3572"
"15:00","3~p.m.","#CLO","/net/gsb/pmb/out/p85/d3572"
"09:00","9~a.m.","#CLO","/net/gsb/pmb/out/p85/d3572"
"will","'ll","#FUT","/net/gsb/pmb/out/p86/d0769"
"will","'ll","#FUT","/net/gsb/pmb/out/p86/d0770"
"will","'ll","#FUT","/net/gsb/pmb/out/p86/d0794"
"will","'ll","#FUT","/net/gsb/pmb/out/p86/d0875"
"will","'ll","#FUT","/net/gsb/pmb/out/p86/d0882"
"will","'ll","#FUT","/net/gsb/pmb/out/p86/d0889"
"equal","None","#None","/net/gsb/pmb/out/p86/d0996"
"08:00","8~a.m.","#CLO","/net/gsb/pmb/out/p86/d3175"
"will","'ll","#FUT","/net/gsb/pmb/out/p87/d0856"
"will","'ll","#FUT","/net/gsb/pmb/out/p87/d0922"
"will","'ll","#FUT","/net/gsb/pmb/out/p87/d0948"
"18:00","6:00~p.m.","#CLO","/net/gsb/pmb/out/p87/d2450"
"10:00","10:00~a.m.","#CLO","/net/gsb/pmb/out/p87/d3377"
"will","'ll","#FUT","/net/gsb/pmb/out/p88/d0868"
